road_id,aadt,aadt_flag,county,district,year,segment_from,segment_to,begin_milepost,end_milepost,source_name,source_portal,query_endpoint
87270508,19000,S,Miami-Dade,6,2025,NW 83 ST,NW 77 ST,0,0.378,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87300506,6500,C,Miami-Dade,6,2025,NW 42/37 AV CONNECTO,WB SR-924,0,0.168,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87260529,5100,C,Miami-Dade,6,2025,SR-823 / NW 57 AVE,NW 47 AVE,0,1.029,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87260234,12000,F,Miami-Dade,6,2025,SW 56 ST / MILLER DR,87260475 NB OFF,0,0.186,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87471245,4200,C,Miami-Dade,6,2025,SR 821 NB,87471240 RAMP,0,0.08,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87673501,44000,F,Miami-Dade,6,2025,NW 93 CT,87260391 NB ON RAMP,0,1.586,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87471562,18400,C,Miami-Dade,6,2025,SW 117TH AVENUE,SR 821 NB,0,0.277,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87471545,6600,C,Miami-Dade,6,2025,SR 821 SB,SR 821 SB,0,0.8,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87471101,19500,C,Miami-Dade,6,2025,SR 821 SB,US 1/SOUTH DIXIE HWY,0,0.438,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87580501,33000,C,Miami-Dade,6,2025,NW 27 AVE,NW 12 AVE,0,1.525,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87260000,142500,C,Miami-Dade,6,2025,OFF RAMP 87260475,Bridge No-871021,2.8,3.936,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87260356,21000,C,Miami-Dade,6,2025,SR-826 NB,SR-932/NW 103 ST,0,0.149,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
87260284,10000,T,Miami-Dade,6,2025,87260213 NB OFF,SR-968 / W FLAGLER S,0,0.203,FDOT Annual Average Daily Traffic TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=ROADWAY%2CAADT%2CAADTFLG%2CCOUNTY%2CDISTRICT%2CYEAR_%2CDESC_FRM%2CDESC_TO%2CBEGIN_POST%2CEND_POST&returnGeometry=false&f=json
