signal_id,road_id,county,district,maintaining_agency,signal_description,controller_design,signal_nc,latitude,longitude,source_name,source_portal,query_endpoint
4279,87030000,Miami-Dade,6,MIAMI-DADE,NE 69 ST,N/A,N/A,25.838881,-80.184275,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
6428,87002000,Miami-Dade,6,MIAMI-DADE,NW 195 DR,N/A,N/A,25.951785,-80.294376,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2667,87060000,Miami-Dade,6,MIAMI-DADE,20 ST,N/A,N/A,25.795519,-80.129164,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2328,87085000,Miami-Dade,6,MIAMI-DADE,NW 7 ST,N/A,N/A,25.78022,-80.21484,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
3598,87030000,Miami-Dade,6,MIAMI-DADE,NE 33 ST,N/A,N/A,25.807882,-80.18947,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2066,87140000,Miami-Dade,6,MIAMI-DADE,NW 46 ST,N/A,N/A,25.817554,-80.207866,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
4140,87001000,Miami-Dade,6,MIAMI-DADE,SR 874 ON/OFF RAMP,N/A,N/A,25.687388,-80.351476,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
4153,87037000,Miami-Dade,6,MIAMI-DADE,N/A,N/A,N/A,25.826765,-80.131528,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
4198,87110000,Miami-Dade,6,MIAMI-DADE,SW 177 AVE/KROME AVE,N/A,02,25.760979,-80.481336,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
3283,87060000,Miami-Dade,6,MIAMI-DADE,5300 BLK,N/A,N/A,25.830722,-80.122017,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
